area,tecnologia,linea,division,proyecto
SMD,LASER,Z,B&S 3,BIDIR FOB HONDA MY14 
SMD,LASER,Z,B&S 3,BIDIR FOB HONDA MY14 
SMD,LASER,Z,B&S 3,BIDIR FOB HONDA MY14 
SMD,SIPLACE,Z,B&S 3,FOB HONDA MY14
SMD,SIPLACE,Z,B&S 3,FOB HONDA MY14
SMD,SIPLACE,Z,B&S 3,FOB HONDA MY14
SMD,SIPLACE,Z,B&S 3,FOB HONDA MY14
SMD,SIPLACE,Z,B&S 3,FOB HONDA MY14
SMD,SIPLACE,Z,B&S 3,FOB HONDA MY14
SMD,SIPLACE,Z,B&S 3,FOB HONDA MY14
SMD,SIPLACE,Z,B&S 3,FOB HONDA MY14
SMD,SIPLACE,Z,B&S 3,FOB HONDA MY14
BACKEND/ENSAMBLE FINAL,EBERHARD,PQ 35 6ta Gen,B&S,PQ 35 6ta Gen
BACKEND/ENSAMBLE FINAL,EBERHARD,PQ 35 6ta Gen,B&S,PQ 35 6ta Gen
BACKEND/ENSAMBLE FINAL,EBERHARD,PQ 35 6ta Gen,B&S,PQ 35 6ta Gen
BACKEND/ENSAMBLE FINAL,EBERHARD,PQ 35 6ta Gen,B&S,PQ 35 6ta Gen
BACKEND/ENSAMBLE FINAL,EBERHARD,PQ 35 6ta Gen,B&S,PQ 35 6ta Gen
BACKEND/ENSAMBLE FINAL,EBERHARD,PQ 35 6ta Gen,B&S,PQ 35 6ta Gen
BACKEND/ENSAMBLE FINAL,ROUTER,PQ 35 6ta Gen,B&S,PQ 35 6ta Gen
BACKEND/ENSAMBLE FINAL,ROUTER,PQ 35 6ta Gen,B&S,PQ 35 6ta Gen
BACKEND/ENSAMBLE FINAL,ROUTER,PQ 35 6ta Gen,B&S,PQ 35 6ta Gen
BACKEND/ENSAMBLE FINAL,ROUTER,PQ 35 6ta Gen,B&S,PQ 35 6ta Gen
BACKEND/ENSAMBLE FINAL,ROUTER,PQ 35 6ta Gen,B&S,PQ 35 6ta Gen
BACKEND/ENSAMBLE FINAL,ROUTER,PQ 35 6ta Gen,B&S,PQ 35 6ta Gen
