area,tecnologia,defecto,causa,division,proyecto,,,,,,
WHSE,014,SOBRE INVENTARIO,METODO,PE,CEC,,,,,,
WHSE,015,CADUCO,MANO DE OBRA,PE,CEC,,,,,,
WHSE,015,CADUCO,METODO,PE,CEC,,,,,,
WHSE,015,CADUCO,PROVEEDOR,PE,CEC,,,,,,
WHSE,015,CAMBIO DE INGENIERIA,METODO,PE,CEC,,,,,,
WHSE,015,DAÑADO,MANO DE OBRA,PE,CEC,,,,,,
WHSE,015,DAÑADO,METODO,PE,CEC,,,,,,
WHSE,015,DAÑADO,PROVEEDOR,PE,CEC,,,,,,
WHSE,015,DAÑADO POR TRANSPORTE,METODO,PE,CEC,,,,,,
WHSE,015,DAÑADO POR TRANSPORTE,PROVEEDOR,PE,CEC,,,,,,
WHSE,015,DERRAME,MANO DE OBRA,PE,CEC,,,,,,
WHSE,015,DERRAME,METODO,PE,CEC,,,,,,
WHSE,015,DERRAME,PROVEEDOR,PE,CEC,,,,,,
WHSE,015,DERRAME POR TRANSPORTE,MANO DE OBRA,PE,CEC,,,,,,
WHSE,015,DERRAME POR TRANSPORTE,METODO,PE,CEC,,,,,,
WHSE,015,DERRAME POR TRANSPORTE,PROVEEDOR,PE,CEC,,,,,,
WHSE,015,GOLPEADO,MANO DE OBRA,PE,CEC,,,,,,
WHSE,015,GOLPEADO,METODO,PE,CEC,,,,,,
WHSE,015,GOLPEADO,PROVEEDOR,PE,CEC,,,,,,
WHSE,015,MAL MANEJO DE ALMACEN,MANO DE OBRA,PE,CEC,,,,,,
WHSE,015,MAL MANEJO DE ALMACEN,METODO,PE,CEC,,,,,,
WHSE,015,MATERIAL DAÑADO,MANO DE OBRA,PE,CEC,,,,,,
WHSE,015,MATERIAL DAÑADO,METODO,PE,CEC,,,,,,
WHSE,015,MATERIAL DAÑADO,PROVEEDOR,PE,CEC,,,,,,
WHSE,015,MOJADO,MANO DE OBRA,PE,CEC,,,,,,
WHSE,015,MOJADO,METODO,PE,CEC,,,,,,
WHSE,015,MOJADO,PROVEEDOR,PE,CEC,,,,,,
WHSE,015,OBSOLETO,MANO DE OBRA,PE,CEC,,,,,,
WHSE,015,OBSOLETO,METODO,PE,CEC,,,,,,
WHSE,015,SOBRE INVENTARIO,METODO,PE,CEC,,,,,,
WHSE,014,CADUCO,MANO DE OBRA,PE,ECM,,,,,,
WHSE,014,CADUCO,METODO,PE,ECM,,,,,,
WHSE,014,CADUCO,PROVEEDOR,PE,ECM,,,,,,
WHSE,014,CAMBIO DE INGENIERIA,METODO,PE,ECM,,,,,,
WHSE,014,DAÑADO,MANO DE OBRA,PE,ECM,,,,,,
WHSE,014,DAÑADO,METODO,PE,ECM,,,,,,
WHSE,014,DAÑADO,PROVEEDOR,PE,ECM,,,,,,
WHSE,014,DAÑADO POR TRANSPORTE,METODO,PE,ECM,,,,,,
WHSE,014,DAÑADO POR TRANSPORTE,PROVEEDOR,PE,ECM,,,,,,
WHSE,014,DERRAME,MANO DE OBRA,PE,ECM,,,,,,
WHSE,014,DERRAME,METODO,PE,ECM,,,,,,
WHSE,014,DERRAME,PROVEEDOR,PE,ECM,,,,,,
WHSE,014,DERRAME POR TRANSPORTE,MANO DE OBRA,PE,ECM,,,,,,
WHSE,014,DERRAME POR TRANSPORTE,METODO,PE,ECM,,,,,,
WHSE,014,DERRAME POR TRANSPORTE,PROVEEDOR,PE,ECM,,,,,,
WHSE,014,GOLPEADO,MANO DE OBRA,PE,ECM,,,,,,
WHSE,014,GOLPEADO,METODO,PE,ECM,,,,,,
WHSE,014,GOLPEADO,PROVEEDOR,PE,ECM,,,,,,
WHSE,014,MAL MANEJO DE ALMACEN,MANO DE OBRA,PE,ECM,,,,,,
WHSE,014,MAL MANEJO DE ALMACEN,METODO,PE,ECM,,,,,,
WHSE,014,MATERIAL DAÑADO,MANO DE OBRA,PE,ECM,,,,,,
WHSE,014,MATERIAL DAÑADO,METODO,PE,ECM,,,,,,
WHSE,014,MATERIAL DAÑADO,PROVEEDOR,PE,ECM,,,,,,
WHSE,014,MOJADO,MANO DE OBRA,PE,ECM,,,,,,
WHSE,014,MOJADO,METODO,PE,ECM,,,,,,
WHSE,014,MOJADO,PROVEEDOR,PE,ECM,,,,,,
WHSE,014,OBSOLETO,MANO DE OBRA,PE,ECM,,,,,,
WHSE,014,OBSOLETO,METODO,PE,ECM,,,,,,
WHSE,014,SOBRE INVENTARIO,METODO,PE,ECM,,,,,,
WHSE,015,CADUCO,MANO DE OBRA,PE,ECM,,,,,,
WHSE,015,CADUCO,METODO,PE,ECM,,,,,,
WHSE,015,CADUCO,PROVEEDOR,PE,ECM,,,,,,
WHSE,015,CAMBIO DE INGENIERIA,METODO,PE,ECM,,,,,,
WHSE,015,DAÑADO,MANO DE OBRA,PE,ECM,,,,,,
WHSE,015,DAÑADO,METODO,PE,ECM,,,,,,
WHSE,015,DAÑADO,PROVEEDOR,PE,ECM,,,,,,
WHSE,015,DAÑADO POR TRANSPORTE,METODO,PE,ECM,,,,,,
WHSE,015,DAÑADO POR TRANSPORTE,PROVEEDOR,PE,ECM,,,,,,
WHSE,015,DERRAME,MANO DE OBRA,PE,ECM,,,,,,
WHSE,015,DERRAME,METODO,PE,ECM,,,,,,
WHSE,015,DERRAME,PROVEEDOR,PE,ECM,,,,,,
WHSE,015,DERRAME POR TRANSPORTE,MANO DE OBRA,PE,ECM,,,,,,
WHSE,015,DERRAME POR TRANSPORTE,METODO,PE,ECM,,,,,,
WHSE,015,DERRAME POR TRANSPORTE,PROVEEDOR,PE,ECM,,,,,,
WHSE,015,GOLPEADO,MANO DE OBRA,PE,ECM,,,,,,
WHSE,015,GOLPEADO,METODO,PE,ECM,,,,,,
WHSE,015,GOLPEADO,PROVEEDOR,PE,ECM,,,,,,
WHSE,015,MAL MANEJO DE ALMACEN,MANO DE OBRA,PE,ECM,,,,,,
WHSE,015,MAL MANEJO DE ALMACEN,METODO,PE,ECM,,,,,,
WHSE,015,MATERIAL DAÑADO,MANO DE OBRA,PE,ECM,,,,,,
WHSE,015,MATERIAL DAÑADO,METODO,PE,ECM,,,,,,
WHSE,015,MATERIAL DAÑADO,PROVEEDOR,PE,ECM,,,,,,
WHSE,015,MOJADO,MANO DE OBRA,PE,ECM,,,,,,
WHSE,015,MOJADO,METODO,PE,ECM,,,,,,
WHSE,015,MOJADO,PROVEEDOR,PE,ECM,,,,,,
WHSE,015,OBSOLETO,MANO DE OBRA,PE,ECM,,,,,,
WHSE,015,OBSOLETO,METODO,PE,ECM,,,,,,
WHSE,015,SOBRE INVENTARIO,METODO,PE,ECM,,,,,,
WHSE,014,CADUCO,MANO DE OBRA,PE,EMS 2208,,,,,,
WHSE,014,CADUCO,METODO,PE,EMS 2208,,,,,,
WHSE,014,CADUCO,PROVEEDOR,PE,EMS 2208,,,,,,
WHSE,014,CAMBIO DE INGENIERIA,METODO,PE,EMS 2208,,,,,,
WHSE,014,DAÑADO,MANO DE OBRA,PE,EMS 2208,,,,,,
WHSE,014,DAÑADO,METODO,PE,EMS 2208,,,,,,
WHSE,014,DAÑADO,PROVEEDOR,PE,EMS 2208,,,,,,
WHSE,014,DAÑADO POR TRANSPORTE,METODO,PE,EMS 2208,,,,,,
WHSE,014,DAÑADO POR TRANSPORTE,PROVEEDOR,PE,EMS 2208,,,,,,
WHSE,014,DERRAME,MANO DE OBRA,PE,EMS 2208,,,,,,
WHSE,014,DERRAME,METODO,PE,EMS 2208,,,,,,
WHSE,014,DERRAME,PROVEEDOR,PE,EMS 2208,,,,,,
WHSE,014,DERRAME POR TRANSPORTE,MANO DE OBRA,PE,EMS 2208,,,,,,
WHSE,014,DERRAME POR TRANSPORTE,METODO,PE,EMS 2208,,,,,,
WHSE,014,DERRAME POR TRANSPORTE,PROVEEDOR,PE,EMS 2208,,,,,,
WHSE,014,GOLPEADO,MANO DE OBRA,PE,EMS 2208,,,,,,
WHSE,014,GOLPEADO,METODO,PE,EMS 2208,,,,,,
WHSE,014,GOLPEADO,PROVEEDOR,PE,EMS 2208,,,,,,
WHSE,014,MAL MANEJO DE ALMACEN,MANO DE OBRA,PE,EMS 2208,,,,,,
WHSE,014,MAL MANEJO DE ALMACEN,METODO,PE,EMS 2208,,,,,,
WHSE,014,MATERIAL DAÑADO,MANO DE OBRA,PE,EMS 2208,,,,,,
WHSE,014,MATERIAL DAÑADO,METODO,PE,EMS 2208,,,,,,
WHSE,014,MATERIAL DAÑADO,PROVEEDOR,PE,EMS 2208,,,,,,
WHSE,014,MOJADO,MANO DE OBRA,PE,EMS 2208,,,,,,
WHSE,014,MOJADO,METODO,PE,EMS 2208,,,,,,
WHSE,014,MOJADO,PROVEEDOR,PE,EMS 2208,,,,,,
WHSE,014,OBSOLETO,MANO DE OBRA,PE,EMS 2208,,,,,,
WHSE,014,OBSOLETO,METODO,PE,EMS 2208,,,,,,
WHSE,014,SOBRE INVENTARIO,METODO,PE,EMS 2208,,,,,,
WHSE,015,CADUCO,MANO DE OBRA,PE,EMS 2208,,,,,,
WHSE,015,CADUCO,METODO,PE,EMS 2208,,,,,,
WHSE,015,CADUCO,PROVEEDOR,PE,EMS 2208,,,,,,
WHSE,015,CAMBIO DE INGENIERIA,METODO,PE,EMS 2208,,,,,,
WHSE,015,DAÑADO,MANO DE OBRA,PE,EMS 2208,,,,,,
WHSE,015,DAÑADO,METODO,PE,EMS 2208,,,,,,
WHSE,015,DAÑADO,PROVEEDOR,PE,EMS 2208,,,,,,
WHSE,015,DAÑADO POR TRANSPORTE,METODO,PE,EMS 2208,,,,,,
WHSE,015,DAÑADO POR TRANSPORTE,PROVEEDOR,PE,EMS 2208,,,,,,
WHSE,015,DERRAME,MANO DE OBRA,PE,EMS 2208,,,,,,
WHSE,015,DERRAME,METODO,PE,EMS 2208,,,,,,
WHSE,015,DERRAME,PROVEEDOR,PE,EMS 2208,,,,,,
WHSE,015,DERRAME POR TRANSPORTE,MANO DE OBRA,PE,EMS 2208,,,,,,
WHSE,015,DERRAME POR TRANSPORTE,METODO,PE,EMS 2208,,,,,,
WHSE,015,DERRAME POR TRANSPORTE,PROVEEDOR,PE,EMS 2208,,,,,,
WHSE,015,GOLPEADO,MANO DE OBRA,PE,EMS 2208,,,,,,
WHSE,015,GOLPEADO,METODO,PE,EMS 2208,,,,,,
WHSE,015,GOLPEADO,PROVEEDOR,PE,EMS 2208,,,,,,
WHSE,015,MAL MANEJO DE ALMACEN,MANO DE OBRA,PE,EMS 2208,,,,,,
WHSE,015,MAL MANEJO DE ALMACEN,METODO,PE,EMS 2208,,,,,,
WHSE,015,MATERIAL DAÑADO,MANO DE OBRA,PE,EMS 2208,,,,,,
WHSE,015,MATERIAL DAÑADO,METODO,PE,EMS 2208,,,,,,
WHSE,015,MATERIAL DAÑADO,PROVEEDOR,PE,EMS 2208,,,,,,
WHSE,015,MOJADO,MANO DE OBRA,PE,EMS 2208,,,,,,
WHSE,015,MOJADO,METODO,PE,EMS 2208,,,,,,
WHSE,015,MOJADO,PROVEEDOR,PE,EMS 2208,,,,,,
WHSE,015,OBSOLETO,MANO DE OBRA,PE,EMS 2208,,,,,,
WHSE,015,OBSOLETO,METODO,PE,EMS 2208,,,,,,
WHSE,015,SOBRE INVENTARIO,METODO,PE,EMS 2208,,,,,,
WHSE,014,CADUCO,MANO DE OBRA,PE,EMS 2213,,,,,,
WHSE,014,CADUCO,METODO,PE,EMS 2213,,,,,,
WHSE,014,CADUCO,PROVEEDOR,PE,EMS 2213,,,,,,
WHSE,014,CAMBIO DE INGENIERIA,METODO,PE,EMS 2213,,,,,,
WHSE,014,DAÑADO,MANO DE OBRA,PE,EMS 2213,,,,,,
WHSE,014,DAÑADO,METODO,PE,EMS 2213,,,,,,
WHSE,014,DAÑADO,PROVEEDOR,PE,EMS 2213,,,,,,
WHSE,014,DAÑADO POR TRANSPORTE,METODO,PE,EMS 2213,,,,,,
WHSE,014,DAÑADO POR TRANSPORTE,PROVEEDOR,PE,EMS 2213,,,,,,
WHSE,014,DERRAME,MANO DE OBRA,PE,EMS 2213,,,,,,
WHSE,014,DERRAME,METODO,PE,EMS 2213,,,,,,
WHSE,014,DERRAME,PROVEEDOR,PE,EMS 2213,,,,,,
WHSE,014,DERRAME POR TRANSPORTE,MANO DE OBRA,PE,EMS 2213,,,,,,
WHSE,014,DERRAME POR TRANSPORTE,METODO,PE,EMS 2213,,,,,,
WHSE,014,DERRAME POR TRANSPORTE,PROVEEDOR,PE,EMS 2213,,,,,,
WHSE,014,GOLPEADO,MANO DE OBRA,PE,EMS 2213,,,,,,
WHSE,014,GOLPEADO,METODO,PE,EMS 2213,,,,,,
WHSE,014,GOLPEADO,PROVEEDOR,PE,EMS 2213,,,,,,
WHSE,014,MAL MANEJO DE ALMACEN,MANO DE OBRA,PE,EMS 2213,,,,,,
WHSE,014,MAL MANEJO DE ALMACEN,METODO,PE,EMS 2213,,,,,,
WHSE,014,MATERIAL DAÑADO,MANO DE OBRA,PE,EMS 2213,,,,,,
WHSE,014,MATERIAL DAÑADO,METODO,PE,EMS 2213,,,,,,
WHSE,014,MATERIAL DAÑADO,PROVEEDOR,PE,EMS 2213,,,,,,
WHSE,014,MOJADO,MANO DE OBRA,PE,EMS 2213,,,,,,
WHSE,014,MOJADO,METODO,PE,EMS 2213,,,,,,
WHSE,014,MOJADO,PROVEEDOR,PE,EMS 2213,,,,,,
WHSE,014,OBSOLETO,MANO DE OBRA,PE,EMS 2213,,,,,,
WHSE,014,OBSOLETO,METODO,PE,EMS 2213,,,,,,
WHSE,014,SOBRE INVENTARIO,METODO,PE,EMS 2213,,,,,,
WHSE,015,CADUCO,MANO DE OBRA,PE,EMS 2213,,,,,,
WHSE,015,CADUCO,METODO,PE,EMS 2213,,,,,,
WHSE,015,CADUCO,PROVEEDOR,PE,EMS 2213,,,,,,
WHSE,015,CAMBIO DE INGENIERIA,METODO,PE,EMS 2213,,,,,,
WHSE,015,DAÑADO,MANO DE OBRA,PE,EMS 2213,,,,,,
WHSE,015,DAÑADO,METODO,PE,EMS 2213,,,,,,
