area,tecnologia,defecto,causa,proyecto
SMD,IMPRESION DE PASTA,SET UP DE EQUIPO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,SET UP DE EQUIPO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,LIBERACION DE EQUIPO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,PRUEBA DE INGENIERIA,METODO,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,PCB DEFECTUOSO,PROVEEDOR,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,PANEL ATORADO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,PANEL ATORADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,PANEL ATORADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,INSUFICIENCIA DE SOLDADURA LADO A ,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,INSUFICIENCIA DE SOLDADURA LADO A ,METODO,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,INSUFICIENCIA DE SOLDADURA LADO B ,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,INSUFICIENCIA DE SOLDADURA LADO B ,METODO,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,PERLAS DE SOLDADURA,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,PERLAS DE SOLDADURA,METODO,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,EXCESO DE SOLDADURA,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,EXCESO DE SOLDADURA,METODO,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,EXCESO DE SOLDADURA,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,CORTOS,METODO,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,CORTOS,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,CORTOS,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,SOLDADURA POROSA,METODO,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,SOLDADURA POROSA,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,SOLDADURA POROSA,PROVEEDOR,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,CONTAMINACION,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,CONTAMINACION,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,CONTAMINACION,PROVEEDOR,ARAMIS 2010 / 2011 / 2012
SMD,IMPRESION DE PASTA,CONTAMINACION,METODO,ARAMIS 2010 / 2011 / 2012
